caution_speed_kmh,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
45,detection,0,29,6,0.20689655172413793,6,0,0.0,6,67,9.150000000016277,0.18333333333355975,2.499999999999918,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.2066457271575928
45,detection,1,29,3,0.10344827586206896,3,0,0.0,3,34,10.300000000008216,0.19999999999996967,1.252777777777766,100.0,100.0,0.0,0.0,29,4,3,3,0,26,3.233630657196045
45,detection,2,29,5,0.1724137931034483,5,1,0.2,5,56,9.740000000020563,0.3000000000007731,2.0833333333332744,100.0,100.0,0.0,0.0,29,7,5,5,0,24,3.3086886405944824
45,detection,3,29,1,0.034482758620689655,1,0,0.0,1,10,8.799999999991996,0.09999999999990905,0.4180555555555578,100.0,100.0,0.0,0.0,29,2,1,1,0,28,3.286297559738159
45,detection,4,29,3,0.10344827586206896,3,1,0.3333333333333333,3,31,10.733333333345968,0.2333333333332348,1.2513888888888773,100.0,100.0,0.0,0.0,29,3,3,3,0,26,3.380479574203491
45,detection,5,29,7,0.2413793103448276,7,1,0.14285714285714285,7,75,11.471428571418139,0.31428571428542845,2.9249999999998932,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.4514453411102295
45,detection,6,29,7,0.2413793103448276,7,0,0.0,7,74,9.914285714286686,0.20000000000002924,2.9222222222221155,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.3946731090545654
45,detection,7,29,7,0.2413793103448276,7,0,0.0,7,75,9.914285714299732,0.30000000000008853,2.919444444444338,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.4411990642547607
45,detection,8,29,5,0.1724137931034483,5,1,0.2,5,54,10.200000000011187,0.18000000000024557,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.478856086730957
45,detection,9,29,4,0.13793103448275862,4,1,0.25,4,45,7.000000000012697,0.17500000000028848,1.6666666666666312,100.0,100.0,0.0,0.0,29,5,4,4,0,25,3.4851818084716797
45,detection,10,29,7,0.2413793103448276,7,0,0.0,7,75,8.871428571435315,0.2857142857148704,2.920833333333227,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.4136710166931152
45,detection,11,29,7,0.2413793103448276,7,1,0.14285714285714285,7,78,9.028571428591297,0.30000000000018595,2.9180555555554495,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.4944283962249756
45,detection,12,29,5,0.1724137931034483,5,1,0.2,5,54,9.640000000022514,0.18000000000051272,2.0833333333332744,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.4872286319732666
45,detection,13,29,5,0.1724137931034483,5,0,0.0,5,54,9.400000000009817,0.4000000000002274,2.0847222222221635,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.3784120082855225
45,detection,14,29,6,0.20689655172413793,6,0,0.0,6,65,8.650000000011309,0.20000000000019705,2.5027777777776947,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.480520725250244
45,aware,0,29,6,0.20689655172413793,6,0,0.0,6,67,9.150000000016277,0.18333333333355975,2.499999999999918,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.4575483798980713
45,aware,1,29,3,0.10344827586206896,3,0,0.0,3,34,10.300000000008216,0.19999999999996967,1.252777777777766,100.0,100.0,0.0,0.0,29,4,3,3,0,26,3.4354634284973145
45,aware,2,29,5,0.1724137931034483,5,1,0.2,5,56,9.740000000020563,0.3000000000007731,2.0833333333332744,100.0,100.0,0.0,0.0,29,7,5,5,0,24,3.4719772338867188
45,aware,3,29,1,0.034482758620689655,1,0,0.0,1,10,8.799999999991996,0.09999999999990905,0.4180555555555578,100.0,100.0,0.0,0.0,29,2,1,1,0,28,3.399218797683716
45,aware,4,29,3,0.10344827586206896,3,1,0.3333333333333333,3,31,10.733333333345968,0.2333333333332348,1.2513888888888773,100.0,100.0,0.0,0.0,29,3,3,3,0,26,3.476755142211914
45,aware,5,29,7,0.2413793103448276,7,1,0.14285714285714285,7,75,11.471428571418139,0.31428571428542845,2.9249999999998932,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.463131904602051
45,aware,6,29,7,0.2413793103448276,7,0,0.0,7,74,9.914285714286686,0.20000000000002924,2.9222222222221155,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.4697041511535645
45,aware,7,29,7,0.2413793103448276,7,0,0.0,7,75,9.914285714299732,0.30000000000008853,2.919444444444338,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.5570433139801025
45,aware,8,29,5,0.1724137931034483,5,1,0.2,5,54,10.200000000011187,0.18000000000024557,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.4909894466400146
45,aware,9,29,4,0.13793103448275862,4,1,0.25,4,45,7.000000000012697,0.17500000000028848,1.6666666666666312,100.0,100.0,0.0,0.0,29,5,4,4,0,25,3.156589984893799
45,aware,10,29,7,0.2413793103448276,7,0,0.0,7,75,8.871428571435315,0.2857142857148704,2.920833333333227,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.1556615829467773
45,aware,11,29,7,0.2413793103448276,7,1,0.14285714285714285,7,78,9.028571428591297,0.30000000000018595,2.9180555555554495,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.1707262992858887
45,aware,12,29,5,0.1724137931034483,5,1,0.2,5,54,9.640000000022514,0.18000000000051272,2.0833333333332744,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.137692451477051
45,aware,13,29,5,0.1724137931034483,5,0,0.0,5,54,9.400000000009817,0.4000000000002274,2.0847222222221635,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.086974859237671
45,aware,14,29,6,0.20689655172413793,6,0,0.0,6,65,8.650000000011309,0.20000000000019705,2.5027777777776947,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.089433193206787
45,control,0,29,0,0.0,5,2,0.4,0,0,0.0,0.0,0.0,100.0,100.0,0.0,1.5000000000000002,29,9,5,5,1,25,1.9691433906555176
45,control,1,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,1.9733397960662842
45,control,2,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,3.4000000000000017,29,4,4,5,1,25,2.004859447479248
45,control,3,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.0138542652130127
45,control,4,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,1.9731791019439697
45,control,5,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,1.9882020950317383
45,control,6,29,0,0.0,7,2,0.2857142857142857,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,7,7,7,0,22,1.996265172958374
45,control,7,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,7.499999999999989,29,10,9,10,3,22,2.0187437534332275
45,control,8,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,1.933318853378296
45,control,9,29,0,0.0,6,1,0.16666666666666666,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.6,29,7,6,6,1,23,1.923975944519043
45,control,10,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,1.9078757762908936
45,control,11,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,1.877000093460083
45,control,12,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,1.9248402118682861
45,control,13,29,0,0.0,10,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,11,10,10,0,19,1.8599834442138672
45,control,14,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,1.837977647781372
