size_scale,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
0.25,detection,0,29,3,0.10344827586206896,2,0,0.0,3,31,9.166666666676937,0.4333333333335266,1.2499999999999885,100.0,100.0,0.0,0.0,29,3,2,2,0,27,3.4195034503936768
0.25,detection,1,29,4,0.13793103448275862,3,0,0.0,4,41,8.025000000000091,0.42500000000052296,1.6708333333332976,100.0,100.0,0.0,0.0,29,4,3,3,0,26,3.463747978210449
0.25,detection,2,29,4,0.13793103448275862,4,0,0.0,4,42,7.800000000016269,0.6250000000017621,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.489030599594116
0.25,detection,3,29,2,0.06896551724137931,2,0,0.0,2,20,8.350000000009686,0.1999999999998181,0.8347222222222304,100.0,100.0,0.0,0.0,29,2,2,2,0,27,3.542675256729126
0.25,detection,4,29,10,0.3448275862068966,10,1,0.1,10,100,8.220000000017876,0.43000000000067756,4.169444444444441,100.0,100.0,0.0,0.0,29,10,10,10,0,19,3.5489084720611572
0.25,detection,5,29,5,0.1724137931034483,5,0,0.0,5,51,10.62000000000744,0.9000000000007276,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.5250320434570312
0.25,detection,6,29,2,0.06896551724137931,2,1,0.5,2,20,11.65000000001936,1.3500000000008185,0.8333333333333414,100.0,100.0,0.0,0.0,29,3,2,2,0,27,3.5597262382507324
0.25,detection,7,29,10,0.3448275862068966,10,0,0.0,10,103,9.670000000009429,0.750000000000432,4.173611111111109,100.0,100.0,0.0,0.0,29,10,10,10,0,19,3.668349266052246
0.25,detection,8,29,6,0.20689655172413793,6,1,0.16666666666666666,6,60,8.60000000000529,0.8000000000000682,2.5027777777776947,100.0,100.0,0.0,0.0,29,7,6,6,0,23,3.8128502368927
0.25,detection,9,29,4,0.13793103448275862,4,0,0.0,4,40,8.300000000001738,0.14999999999997016,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.922910451889038
0.25,detection,10,29,5,0.1724137931034483,5,0,0.0,5,51,10.000000000010004,0.6000000000004547,2.087499999999941,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.935175657272339
0.25,detection,11,29,7,0.2413793103448276,7,0,0.0,7,71,8.77142857143906,0.5571428571435239,2.920833333333227,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.8815858364105225
0.25,detection,12,29,8,0.27586206896551724,7,1,0.14285714285714285,8,79,7.750000000007741,0.5625000000001812,3.3388888888887585,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.778533458709717
0.25,detection,13,29,4,0.13793103448275862,3,0,0.0,4,42,9.100000000000414,0.42499999999969873,1.669444444444409,100.0,100.0,0.0,0.0,29,4,3,3,0,26,3.850987434387207
0.25,detection,14,29,5,0.1724137931034483,5,1,0.2,5,50,9.559999999998036,0.3399999999998727,2.08888888888883,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.846968650817871
