cruise_speed_kmh,metric,comparison,n_ref,n_trt,mean_ref_pct,mean_trt_pct,welch_t,welch_df,welch_p,glm_family,glm_dispersion,rate_ratio,rr_ci_low,rr_ci_high,glm_z,glm_p,bootstrap_diff_pp,bootstrap_ci_low_pp,bootstrap_ci_high_pp,reduction_pct,reduction_ci_low_pct,reduction_ci_high_pct
60,det_rate,detection_vs_aware,15,15,24.3678,24.3678,0,28,1,poisson,0.656334,1,0.76397,1.30895,3.23302e-15,1,0,-5.05747,5.05747,0,-23.3018,18.9666
80,det_rate,detection_vs_aware,15,15,20.6897,20.6897,0,28,1,poisson,1.04762,1,0.746634,1.33934,-1.11714e-15,1,0,-5.97701,5.97701,0,-33.3333,25
100,det_rate,detection_vs_aware,15,15,19.0805,19.0805,0,28,1,poisson,0.409639,1,0.737676,1.35561,-1.43042e-15,1,0,-3.67816,3.67816,0,-20.8333,17.0455
120,det_rate,detection_vs_aware,15,15,21.1494,21.1494,0,28,1,poisson,0.486025,1,0.749023,1.33507,2.63546e-15,1,0,-4.13793,4.13793,0,-21.8419,17.7083
