driver_reaction_s,metric,comparison,n_ref,n_trt,mean_ref_pct,mean_trt_pct,welch_t,welch_df,welch_p,glm_family,glm_dispersion,rate_ratio,rr_ci_low,rr_ci_high,glm_z,glm_p,bootstrap_diff_pp,bootstrap_ci_low_pp,bootstrap_ci_high_pp,reduction_pct,reduction_ci_low_pct,reduction_ci_high_pct
0.5,det_rate,detection_vs_aware,15,15,22.5287,22.5287,0,28,1,poisson,0.784257,1,0.755784,1.32313,-4.08007e-15,1,0,-5.51724,5.28736,0,-27.0588,21.5686
1,det_rate,detection_vs_aware,15,15,20,20,0,28,1,poisson,0.571429,1,0.742914,1.34605,-2.19673e-15,1,0,-4.36782,4.36782,0,-24.359,20
1.5,det_rate,detection_vs_aware,15,15,19.0805,19.0805,0,28,1,poisson,0.409639,1,0.737676,1.35561,-1.43042e-15,1,0,-3.67816,3.67816,0,-20.8333,17.0455
2.5,det_rate,detection_vs_aware,15,15,18.3908,18.3908,0,28,1,poisson,0.526786,1,0.733518,1.36329,2.80867e-15,1,0,-3.90805,3.90805,0,-24.2857,19.5652
4,det_rate,detection_vs_aware,15,15,22.7586,22.7586,0,28,1,poisson,0.341991,1,0.756856,1.32126,3.12444e-15,1,0,-3.44828,3.67816,0,-17.0455,14.5631
