caution_speed_kmh,metric,comparison,n_ref,n_trt,mean_ref_pct,mean_trt_pct,welch_t,welch_df,welch_p,glm_family,glm_dispersion,rate_ratio,rr_ci_low,rr_ci_high,glm_z,glm_p,bootstrap_diff_pp,bootstrap_ci_low_pp,bootstrap_ci_high_pp,reduction_pct,reduction_ci_low_pct,reduction_ci_high_pct
30,det_rate,detection_vs_aware,15,15,19.0805,19.0805,0,28,1,poisson,0.409639,1,0.737676,1.35561,-1.43042e-15,1,0,-3.67816,3.67816,0,-20.8333,17.0455
45,det_rate,detection_vs_aware,15,15,17.931,17.931,0,28,1,poisson,0.637363,1,0.730628,1.36869,-1.21333e-15,1,0,-4.36782,4.36782,0,-27.8707,21.9519
60,det_rate,detection_vs_aware,15,15,18.3908,18.3908,0,28,1,poisson,0.419643,1,0.733518,1.36329,-1.05325e-15,1,0,-3.44828,3.45402,0,-21.2152,17.7778
80,det_rate,detection_vs_aware,15,15,18.1609,18.1609,0,28,1,poisson,0.690778,1,0.732085,1.36596,1.04665e-15,1,0,-4.5977,4.5977,0,-28.7879,22.7273
100,det_rate,detection_vs_aware,15,15,21.6092,21.6092,0,28,1,poisson,0.534954,1,0.751341,1.33095,5.13763e-15,1,0,-4.36782,4.36782,0,-21.9512,18.5567
