vehicles_per_dir,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
2,aware,6,29,12,0.41379310344827586,11,0,0.0,12,58,9.141666666680303,0.3416666666671138,5.005555555555743,100.0,100.0,0.0,0.0,29,15,11,11,0,18,2.377953052520752
2,aware,7,29,5,0.1724137931034483,5,0,0.0,5,24,7.839999999999895,0.26000000000003637,2.086111111111052,100.0,100.0,0.0,0.0,29,8,5,5,0,24,2.3587260246276855
2,aware,8,29,8,0.27586206896551724,6,0,0.0,8,41,8.500000000011823,0.3250000000003723,3.336111111110981,100.0,100.0,0.0,0.0,29,9,6,6,0,23,2.315805673599243
2,aware,9,29,5,0.1724137931034483,3,0,0.0,5,25,8.480000000006566,0.21999999999998182,2.086111111111052,100.0,100.0,0.0,0.0,29,6,3,3,0,26,2.131013870239258
2,aware,10,29,5,0.1724137931034483,4,0,0.0,5,24,7.200000000000069,0.2600000000005366,2.086111111111052,100.0,100.0,0.0,0.0,29,8,5,4,0,25,2.076406240463257
2,aware,11,29,8,0.27586206896551724,6,0,0.0,8,39,8.925000000017008,0.21250000000048885,3.33749999999987,100.0,100.0,0.0,0.0,29,10,6,6,0,23,2.1285738945007324
2,aware,12,29,10,0.3448275862068966,7,0,0.0,10,51,7.510000000002265,0.3099999999997635,4.177777777777776,100.0,100.0,0.0,0.0,29,11,7,7,0,22,2.0219686031341553
2,aware,13,29,8,0.27586206896551724,6,0,0.0,8,40,8.975000000007995,0.5125000000009123,3.3388888888887585,100.0,100.0,0.0,0.0,29,9,7,6,0,23,2.0091161727905273
2,aware,14,29,10,0.3448275862068966,6,0,0.0,10,48,8.310000000005596,0.2000000000002217,4.173611111111109,100.0,100.0,0.0,0.0,29,12,7,6,0,23,2.1177151203155518
2,control,0,29,0,0.0,5,2,0.4,0,0,0.0,0.0,0.0,100.0,100.0,0.0,1.5000000000000002,29,9,5,5,1,25,2.1628105640411377
2,control,1,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.2382452487945557
2,control,2,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,3.4000000000000017,29,4,4,5,1,25,2.1882247924804688
2,control,3,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.1832211017608643
2,control,4,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.185708999633789
2,control,5,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.223066806793213
2,control,6,29,0,0.0,7,2,0.2857142857142857,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,7,7,7,0,22,2.350759744644165
2,control,7,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,7.499999999999989,29,10,9,10,3,22,2.1764371395111084
2,control,8,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.2196099758148193
2,control,9,29,0,0.0,6,1,0.16666666666666666,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.6,29,7,6,6,1,23,2.150815010070801
2,control,10,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.1766304969787598
2,control,11,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.1910619735717773
