radar_range,metric,comparison,n_ref,n_trt,mean_ref_pct,mean_trt_pct,welch_t,welch_df,welch_p,glm_family,glm_dispersion,rate_ratio,rr_ci_low,rr_ci_high,glm_z,glm_p,bootstrap_diff_pp,bootstrap_ci_low_pp,bootstrap_ci_high_pp,reduction_pct,reduction_ci_low_pct,reduction_ci_high_pct
8,det_rate,detection_vs_aware,15,15,19.7701,19.7701,0,28,1,poisson,0.310631,1,0.741636,1.34837,-7.28022e-16,1,0,-3.21839,3.21839,0,-17.8082,15.0562
10,det_rate,detection_vs_aware,15,15,19.0805,19.0805,0,28,1,poisson,0.409639,1,0.737676,1.35561,-1.43042e-15,1,0,-3.67816,3.67816,0,-20.8333,17.0455
12,det_rate,detection_vs_aware,15,15,28.5057,28.5057,0,28,1,poisson,1.02765,1,0.779642,1.28264,-6.55643e-16,1,0,-6.89655,7.12644,0,-28.7039,21.8978
15,det_rate,detection_vs_aware,15,15,40.4598,40.4598,0,28,1,poisson,0.346591,1,0.811447,1.23237,1.56222e-15,1,0,-4.82759,4.82759,0,-12.8834,11.413
20,det_rate,detection_vs_aware,15,15,66.2069,66.2069,0,28,1,poisson,0.65625,1,0.849308,1.17743,0,1,0,-8.50575,8.50575,0,-13.92,12.1314
