cruise_speed_kmh,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
60,detection,0,29,10,0.3448275862068966,8,1,0.125,10,99,8.310000000017434,0.3000000000005997,4.169444444444441,100.0,100.0,0.0,0.0,29,10,8,8,0,21,3.5538430213928223
60,detection,1,29,7,0.2413793103448276,6,0,0.0,7,67,9.100000000004131,0.25714285714262325,2.9236111111110046,100.0,100.0,0.0,0.0,29,8,6,6,0,23,3.547116994857788
60,detection,2,29,6,0.20689655172413793,6,1,0.16666666666666666,6,62,7.900000000013809,0.4833333333341064,2.504166666666584,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.6174612045288086
60,detection,3,29,5,0.1724137931034483,4,0,0.0,5,50,7.260000000004789,0.21999999999998182,2.087499999999941,100.0,100.0,0.0,0.0,29,7,4,4,0,25,3.519153118133545
60,detection,4,29,12,0.41379310344827586,11,1,0.09090909090909091,12,117,8.966666666684196,0.4083333333340325,5.002777777777964,100.0,100.0,0.0,0.0,29,12,11,11,0,18,3.6298515796661377
60,detection,5,29,7,0.2413793103448276,5,0,0.0,7,69,6.357142857151757,0.18571428571418178,2.920833333333227,100.0,100.0,0.0,0.0,29,7,5,5,0,24,3.483879804611206
60,detection,6,29,5,0.1724137931034483,5,0,0.0,5,49,8.200000000007162,0.819999999999618,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.6543898582458496
60,detection,7,29,4,0.13793103448275862,3,1,0.3333333333333333,4,41,9.375000000007226,0.3499999999998593,1.66805555555552,100.0,100.0,0.0,0.0,29,5,4,3,0,26,3.5562939643859863
60,detection,8,29,7,0.2413793103448276,5,0,0.0,7,70,7.828571428581459,0.4142857142867667,2.9222222222221155,100.0,100.0,0.0,0.0,29,8,5,5,0,24,3.5925822257995605
60,detection,9,29,6,0.20689655172413793,6,0,0.0,6,58,10.58333333336031,0.13333333333369998,2.499999999999918,100.0,100.0,0.0,0.0,29,7,6,6,0,23,3.5041215419769287
60,detection,10,29,9,0.3103448275862069,9,0,0.0,9,88,9.344444444456927,0.26666666666658834,3.754166666666569,100.0,100.0,0.0,0.0,29,10,9,9,0,20,3.5669429302215576
60,detection,11,29,5,0.1724137931034483,4,0,0.0,5,50,7.8600000000104275,0.4000000000003013,2.0847222222221635,100.0,100.0,0.0,0.0,29,7,4,4,0,25,3.532219409942627
60,detection,12,29,9,0.3103448275862069,9,1,0.1111111111111111,9,91,9.255555555557391,0.28888888888885034,3.755555555555458,100.0,100.0,0.0,0.0,29,10,9,9,0,20,3.5419812202453613
60,detection,13,29,7,0.2413793103448276,7,0,0.0,7,69,10.614285714301944,0.20000000000032156,2.919444444444338,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.4481024742126465
60,detection,14,29,7,0.2413793103448276,7,0,0.0,7,69,7.8000000000075875,0.12857142857163645,2.920833333333227,100.0,100.0,0.0,0.0,29,10,7,7,0,22,3.599564552307129
60,aware,0,29,10,0.3448275862068966,8,1,0.125,10,99,8.310000000017434,0.3000000000005997,4.169444444444441,100.0,100.0,0.0,0.0,29,10,8,8,0,21,3.5195977687835693
60,aware,1,29,7,0.2413793103448276,6,0,0.0,7,67,9.100000000004131,0.25714285714262325,2.9236111111110046,100.0,100.0,0.0,0.0,29,8,6,6,0,23,3.631195545196533
60,aware,2,29,6,0.20689655172413793,6,1,0.16666666666666666,6,62,7.900000000013809,0.4833333333341064,2.504166666666584,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.6002063751220703
60,aware,3,29,5,0.1724137931034483,4,0,0.0,5,50,7.260000000004789,0.21999999999998182,2.087499999999941,100.0,100.0,0.0,0.0,29,7,4,4,0,25,3.676581859588623
60,aware,4,29,12,0.41379310344827586,11,1,0.09090909090909091,12,117,8.966666666684196,0.4083333333340325,5.002777777777964,100.0,100.0,0.0,0.0,29,12,11,11,0,18,3.7248997688293457
60,aware,5,29,7,0.2413793103448276,5,0,0.0,7,69,6.357142857151757,0.18571428571418178,2.920833333333227,100.0,100.0,0.0,0.0,29,7,5,5,0,24,3.5999622344970703
60,aware,6,29,5,0.1724137931034483,5,0,0.0,5,49,8.200000000007162,0.819999999999618,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.6849312782287598
60,aware,7,29,4,0.13793103448275862,3,1,0.3333333333333333,4,41,9.375000000007226,0.3499999999998593,1.66805555555552,100.0,100.0,0.0,0.0,29,5,4,3,0,26,3.733516216278076
60,aware,8,29,7,0.2413793103448276,5,0,0.0,7,70,7.828571428581459,0.4142857142867667,2.9222222222221155,100.0,100.0,0.0,0.0,29,8,5,5,0,24,3.628265380859375
