driver_reaction_s,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
0.5,aware,5,29,4,0.13793103448275862,4,0,0.0,4,40,10.699999999996521,0.2749999999997499,1.6708333333332976,100.0,100.0,0.0,0.0,29,6,4,4,0,25,3.745712995529175
0.5,aware,6,29,6,0.20689655172413793,6,0,0.0,6,59,9.06666666668076,0.2666666666670494,2.5013888888888065,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.886563539505005
0.5,aware,7,29,5,0.1724137931034483,5,0,0.0,5,51,8.080000000001798,0.6400000000003786,2.086111111111052,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.9485111236572266
0.5,aware,8,29,6,0.20689655172413793,6,1,0.16666666666666666,6,61,8.450000000019145,0.13333333333347733,2.5013888888888065,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.898592948913574
0.5,aware,9,29,9,0.3103448275862069,9,1,0.1111111111111111,9,90,10.188888888899843,0.2888888888894441,3.7527777777776796,100.0,100.0,0.0,0.0,29,9,9,9,0,20,3.393639087677002
0.5,aware,10,29,6,0.20689655172413793,5,1,0.2,6,59,8.450000000011945,0.23333333333350006,2.504166666666584,100.0,100.0,0.0,0.0,29,7,5,5,0,24,3.3631865978240967
0.5,aware,11,29,6,0.20689655172413793,6,0,0.0,6,61,9.51666666668092,0.28333333333338356,2.5027777777776947,100.0,100.0,0.0,0.0,29,8,6,6,0,23,3.255661964416504
0.5,aware,12,29,3,0.10344827586206896,3,0,0.0,3,29,8.700000000006819,0.10000000000024063,1.2513888888888773,100.0,100.0,0.0,0.0,29,3,3,3,0,26,3.212472677230835
0.5,aware,13,29,9,0.3103448275862069,9,1,0.1111111111111111,9,90,10.033333333341814,0.17777777777790663,3.7569444444443474,100.0,100.0,0.0,0.0,29,10,9,9,0,20,3.35809063911438
0.5,aware,14,29,7,0.2413793103448276,7,1,0.14285714285714285,7,69,9.71428571431157,0.24285714285802637,2.919444444444338,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.1716721057891846
0.5,control,0,29,0,0.0,5,2,0.4,0,0,0.0,0.0,0.0,100.0,100.0,0.0,1.5000000000000002,29,9,5,5,1,25,2.063568115234375
0.5,control,1,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.1580824851989746
0.5,control,2,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,3.4000000000000017,29,4,4,5,1,25,2.090182304382324
0.5,control,3,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.2090117931365967
0.5,control,4,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.2285315990448
0.5,control,5,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.160515069961548
0.5,control,6,29,0,0.0,7,2,0.2857142857142857,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,7,7,7,0,22,2.1667392253875732
0.5,control,7,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,7.499999999999989,29,10,9,10,3,22,2.1224842071533203
0.5,control,8,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.1065633296966553
0.5,control,9,29,0,0.0,6,1,0.16666666666666666,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.6,29,7,6,6,1,23,2.1588332653045654
0.5,control,10,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.124370574951172
0.5,control,11,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.1174120903015137
0.5,control,12,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,1.989727258682251
0.5,control,13,29,0,0.0,10,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,11,10,10,0,19,2.0985753536224365
0.5,control,14,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.0478134155273438
