radar_spacing,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
5,aware,5,29,8,0.27586206896551724,8,0,0.0,8,80,7.96250000001362,0.3375000000003183,3.33749999999987,100.0,100.0,0.0,0.0,29,8,8,8,0,21,5.993002653121948
5,aware,6,29,3,0.10344827586206896,3,0,0.0,3,29,8.633333333331583,0.833333333333068,1.2513888888888773,100.0,100.0,0.0,0.0,29,3,3,3,0,26,6.100278854370117
5,aware,7,29,5,0.1724137931034483,5,0,0.0,5,51,6.520000000016194,0.42000000000094245,2.0847222222221635,100.0,100.0,0.0,0.0,29,5,5,5,0,24,6.160092115402222
5,aware,8,29,4,0.13793103448275862,4,1,0.25,4,41,6.475000000012699,0.350000000001188,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,6.186588287353516
5,aware,9,29,10,0.3448275862068966,10,1,0.1,10,104,6.819999999999266,0.1200000000000017,4.174999999999998,100.0,100.0,0.0,0.0,29,10,10,10,0,19,5.624945402145386
5,aware,10,29,7,0.2413793103448276,7,0,0.0,7,71,6.97142857143217,0.3428571428574157,2.9236111111110046,100.0,100.0,0.0,0.0,29,7,7,7,0,22,5.534506559371948
5,aware,11,29,7,0.2413793103448276,7,0,0.0,7,70,7.428571428583658,0.471428571429446,2.919444444444338,100.0,100.0,0.0,0.0,29,7,7,7,0,22,5.535175323486328
5,aware,12,29,4,0.13793103448275862,4,0,0.0,4,39,8.400000000004212,0.19999999999986073,1.669444444444409,100.0,100.0,0.0,0.0,29,4,4,4,0,25,5.384074687957764
5,aware,13,29,5,0.1724137931034483,5,0,0.0,5,50,7.720000000005507,0.1800000000001205,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,5.326145887374878
5,aware,14,29,4,0.13793103448275862,4,1,0.25,4,40,6.000000000005343,0.15000000000009095,1.669444444444409,100.0,100.0,0.0,0.0,29,4,4,4,0,25,5.494228839874268
5,control,0,29,0,0.0,5,2,0.4,0,0,0.0,0.0,0.0,100.0,100.0,0.0,1.5000000000000002,29,9,5,5,1,25,2.1335909366607666
5,control,1,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.13783860206604
5,control,2,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,3.4000000000000017,29,4,4,5,1,25,2.073286294937134
5,control,3,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.118147611618042
5,control,4,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.1099929809570312
5,control,5,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.092052459716797
5,control,6,29,0,0.0,7,2,0.2857142857142857,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,7,7,7,0,22,2.105621337890625
5,control,7,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,7.499999999999989,29,10,9,10,3,22,2.134612798690796
5,control,8,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,1.970871925354004
5,control,9,29,0,0.0,6,1,0.16666666666666666,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.6,29,7,6,6,1,23,2.044917345046997
5,control,10,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.129591941833496
5,control,11,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.1330959796905518
5,control,12,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,1.9965827465057373
5,control,13,29,0,0.0,10,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,11,10,10,0,19,2.0002849102020264
5,control,14,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.0079238414764404
10,detection,0,29,6,0.20689655172413793,6,0,0.0,6,60,9.650000000018347,0.23333333333389325,2.5027777777776947,100.0,100.0,0.0,0.0,29,6,6,6,0,23,4.409149885177612
10,detection,1,29,5,0.1724137931034483,5,0,0.0,5,50,9.320000000000345,0.19999999999990906,2.087499999999941,100.0,100.0,0.0,0.0,29,6,5,5,0,24,4.412375211715698
10,detection,2,29,6,0.20689655172413793,5,0,0.0,6,60,5.58333333334042,0.600000000000667,2.5027777777776947,100.0,100.0,0.0,0.0,29,6,5,5,0,24,4.454690933227539
10,detection,3,29,4,0.13793103448275862,4,0,0.0,4,40,7.300000000009618,0.30000000000075033,1.669444444444409,100.0,100.0,0.0,0.0,29,5,4,4,0,25,4.390509843826294
10,detection,4,29,8,0.27586206896551724,8,0,0.0,8,80,8.11250000000436,0.48750000000035243,3.3402777777776476,100.0,100.0,0.0,0.0,29,8,8,8,0,21,4.4021828174591064
