hesitate_dwell_max,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
1.0,detection,11,29,4,0.13793103448275862,4,0,0.0,4,40,7.425000000005099,0.45000000000027995,1.669444444444409,100.0,100.0,0.0,0.0,29,5,4,4,0,25,3.469290018081665
1.0,detection,12,29,8,0.27586206896551724,8,1,0.125,8,78,7.187500000003009,0.12499999999996803,3.3388888888887585,100.0,100.0,0.0,0.0,29,9,8,8,0,21,3.5969016551971436
1.0,detection,13,29,7,0.2413793103448276,7,0,0.0,7,72,8.900000000000963,0.42857142857121744,2.920833333333227,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.5318233966827393
1.0,detection,14,29,5,0.1724137931034483,5,1,0.2,5,51,9.080000000018481,0.1000000000003638,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.5716617107391357
1.0,aware,0,29,6,0.20689655172413793,6,0,0.0,6,63,9.86666666667729,0.1666666666668893,2.5027777777776947,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.7739527225494385
1.0,aware,1,29,5,0.1724137931034483,5,0,0.0,5,50,8.359999999997035,0.3400000000000546,2.08888888888883,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.6423146724700928
1.0,aware,2,29,11,0.3793103448275862,11,0,0.0,11,112,9.372727272734283,0.38181818181824795,4.59166666666676,100.0,100.0,0.0,0.0,29,11,11,11,0,18,3.691612482070923
1.0,aware,3,29,3,0.10344827586206896,3,0,0.0,3,31,8.366666666669062,0.16666666666651508,1.252777777777766,100.0,100.0,0.0,0.0,29,4,3,3,0,26,3.612023115158081
1.0,aware,4,29,5,0.1724137931034483,4,0,0.0,5,49,9.900000000012255,0.12000000000014097,2.086111111111052,100.0,100.0,0.0,0.0,29,5,4,4,0,25,3.690101385116577
1.0,aware,5,29,7,0.2413793103448276,7,0,0.0,7,70,8.21428571429585,0.2857142857142857,2.920833333333227,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.6950113773345947
