size_scale,metric,comparison,n_ref,n_trt,mean_ref_pct,mean_trt_pct,welch_t,welch_df,welch_p,glm_family,glm_dispersion,rate_ratio,rr_ci_low,rr_ci_high,glm_z,glm_p,bootstrap_diff_pp,bootstrap_ci_low_pp,bootstrap_ci_high_pp,reduction_pct,reduction_ci_low_pct,reduction_ci_high_pct
0.25,det_rate,detection_vs_aware,15,15,18.1609,18.1609,0,28,1,poisson,1.20615,1,0.732085,1.36596,2.9655e-15,1,0,-5.97701,5.97701,0,-39.6825,28.4349
0.5,det_rate,detection_vs_aware,15,15,20.2299,20.2299,0,28,1,poisson,0.62987,1,0.744173,1.34377,1.8411e-15,1,0,-4.82759,4.5977,0,-25.3169,20.7921
0.75,det_rate,detection_vs_aware,15,15,20.2299,20.2299,0,28,1,poisson,0.435065,1,0.744173,1.34377,-3.12986e-15,1,0,-3.67816,3.68391,0,-20.7317,16.8421
1,det_rate,detection_vs_aware,15,15,19.0805,19.0805,0,28,1,poisson,0.409639,1,0.737676,1.35561,-1.43042e-15,1,0,-3.67816,3.67816,0,-20.8333,17.0455
1.5,det_rate,detection_vs_aware,15,15,22.9885,22.9885,0,28,1,poisson,0.292857,1,0.757914,1.31941,-9.81308e-16,1,0,-3.21839,3.44828,0,-16.0023,13.5135
2,det_rate,detection_vs_aware,15,15,24.3678,24.3678,0,28,1,poisson,0.454178,1,0.76397,1.30895,-1.01032e-15,1,0,-4.36782,4.36782,0,-19.5652,16.1017
3,det_rate,detection_vs_aware,15,15,22.2989,22.2989,0,28,1,poisson,0.483063,1,0.754696,1.32504,-3.8659e-15,1,0,-4.13793,4.13793,0,-20.8791,16.8224
