awareness_persist_s,metric,comparison,n_ref,n_trt,mean_ref_pct,mean_trt_pct,welch_t,welch_df,welch_p,glm_family,glm_dispersion,rate_ratio,rr_ci_low,rr_ci_high,glm_z,glm_p,bootstrap_diff_pp,bootstrap_ci_low_pp,bootstrap_ci_high_pp,reduction_pct,reduction_ci_low_pct,reduction_ci_high_pct
10,det_rate,detection_vs_aware,15,15,20.6897,20.6897,0,28,1,poisson,0.47619,1,0.746634,1.33934,1.30333e-15,1,0,-4.13793,4.13793,0,-21.519,17.7083
30,det_rate,detection_vs_aware,15,15,19.0805,19.0805,0,28,1,poisson,0.409639,1,0.737676,1.35561,-1.43042e-15,1,0,-3.67816,3.67816,0,-20.8333,17.0455
60,det_rate,detection_vs_aware,15,15,21.3793,21.3793,0,28,1,poisson,0.557604,1,0.75019,1.333,0,1,0,-4.36782,4.36782,0,-22.9885,18.75
120,det_rate,detection_vs_aware,15,15,19.7701,19.7701,0,28,1,poisson,0.509967,1,0.741636,1.34837,-1.45604e-15,1,0,-4.13793,4.13793,0,-23.0769,18.8246
