mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
detection,11,59,14,0.23728813559322035,14,1,0.07142857142857142,14,141,9.878571428595064,0.450000000000957,2.9180555555557435,100.0,100.0,0.0,0.0,59,14,14,14,0,45,6.809694290161133
detection,12,59,13,0.22033898305084745,12,1,0.08333333333333333,13,129,8.19230769232491,0.43846153846198577,2.711111111111252,100.0,100.0,0.0,0.0,59,13,12,12,0,47,6.7362751960754395
detection,13,59,14,0.23728813559322035,12,1,0.08333333333333333,14,141,8.200000000020491,0.37142857142939484,2.9180555555557435,100.0,100.0,0.0,0.0,59,14,12,12,0,47,6.710813045501709
detection,14,59,15,0.2542372881355932,15,2,0.13333333333333333,15,152,9.360000000029656,0.3200000000010429,3.126388888889124,100.0,100.0,0.0,0.0,59,15,15,15,0,44,6.77318000793457
detection,15,59,12,0.2033898305084746,12,1,0.08333333333333333,12,120,9.200000000027861,0.37500000000125056,2.5006944444445374,100.0,100.0,0.0,0.0,59,14,12,12,0,47,6.899300575256348
detection,16,59,19,0.3220338983050847,17,1,0.058823529411764705,19,189,8.273684210538901,0.3631578947370683,3.962500000000425,100.0,100.0,0.0,0.0,59,19,17,17,0,42,6.947945833206177
detection,17,59,10,0.1694915254237288,10,0,0.0,10,101,9.580000000020982,0.22000000000030012,2.0847222222222204,100.0,100.0,0.0,0.0,59,11,10,10,0,49,6.935054540634155
detection,18,59,12,0.2033898305084746,11,0,0.0,12,121,7.9666666666839205,0.2250000000006954,2.502083333333427,100.0,100.0,0.0,0.0,59,12,11,11,0,48,6.991898775100708
detection,19,59,17,0.288135593220339,16,2,0.125,17,172,8.823529411787902,0.19411764705947623,3.5430555555558856,100.0,100.0,0.0,0.0,59,17,16,16,0,43,7.004302263259888
aware,0,59,9,0.15254237288135594,9,0,0.0,9,93,10.37777777780015,0.32222222222310076,1.8763888888888398,100.0,100.0,0.0,0.0,59,10,9,9,0,50,6.836182355880737
aware,1,59,13,0.22033898305084745,11,1,0.09090909090909091,13,132,9.246153846170902,0.246153846154112,2.7118055555556966,100.0,100.0,0.0,0.0,59,13,11,11,0,48,6.7534918785095215
aware,2,59,9,0.15254237288135594,9,2,0.2222222222222222,9,92,9.36666666669536,0.31111111111201556,1.8756944444443953,100.0,100.0,0.0,0.0,59,9,9,9,0,50,6.8927247524261475
aware,3,59,9,0.15254237288135594,8,0,0.0,9,92,9.200000000024879,0.188888888889475,1.8763888888888398,100.0,100.0,0.0,0.0,59,10,8,8,0,51,6.857746839523315
aware,4,59,12,0.2033898305084746,12,3,0.25,12,119,9.175000000022797,0.2750000000006878,2.501388888888982,100.0,100.0,0.0,0.0,59,12,12,12,0,47,7.177485704421997
aware,5,59,11,0.1864406779661017,11,0,0.0,11,111,9.472727272751316,0.2545454545460085,2.293055555555601,100.0,100.0,0.0,0.0,59,11,11,11,0,48,7.226903676986694
aware,6,59,10,0.1694915254237288,10,1,0.1,10,100,9.230000000017288,0.3100000000005025,2.0847222222222204,100.0,100.0,0.0,0.0,59,11,10,10,0,49,7.189253807067871
aware,7,59,10,0.1694915254237288,10,2,0.2,10,101,9.030000000026874,0.5600000000016877,2.084027777777776,100.0,100.0,0.0,0.0,59,13,10,10,0,49,6.975018501281738
aware,8,59,10,0.1694915254237288,10,0,0.0,10,101,7.420000000014443,0.2700000000005048,2.0854166666666654,100.0,100.0,0.0,0.0,59,11,10,10,0,49,6.699091911315918
