mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
off,15,59,57,0.9661016949152542,32,7,0.21875,57,0,2.4333333333395597,0.23157894736889903,0.0,27.100000000000115,59,59,41,34,11,30,6.754361391067505
off,16,59,59,1.0,32,4,0.125,59,0,2.3661016949216016,0.4101694915259968,0.0,10.29999999999998,59,59,44,35,5,28,6.622682571411133
off,17,59,58,0.9830508474576272,36,11,0.3055555555555556,58,0,2.253448275866491,0.3051724137939863,0.0,10.799999999999978,59,59,46,36,5,23,6.030860424041748
off,18,59,59,1.0,35,6,0.17142857142857143,59,0,2.176271186444814,0.2322033898309327,0.0,21.10000000000003,59,59,48,36,9,24,6.179190397262573
off,19,59,58,0.9830508474576272,35,8,0.22857142857142856,58,0,2.036206896556907,0.2706896551730908,0.0,12.99999999999997,59,59,46,36,8,26,6.353890419006348
on,0,59,59,1.0,45,4,0.08888888888888889,59,592,1.8762711864446746,0.3084745762719228,12.299999999996421,0.0,59,59,57,45,0,14,8.333441734313965
on,1,59,59,1.0,45,2,0.044444444444444446,59,587,2.2050847457685046,0.27627118644124177,12.299999999996421,1.3,59,59,54,45,1,14,8.754319906234741
on,2,59,59,1.0,42,4,0.09523809523809523,59,595,2.2694915254295935,0.28983050847539127,12.299999999996421,0.0,59,59,50,42,0,17,8.72228217124939
on,3,59,58,0.9830508474576272,42,2,0.047619047619047616,58,578,2.1844827586266398,0.32758620689734996,12.091666666663277,2.600000000000001,59,59,54,42,1,17,9.786577224731445
on,4,59,58,0.9830508474576272,47,2,0.0425531914893617,58,581,3.231034482766111,0.32413793103523514,12.091666666663277,0.0,59,59,54,47,0,12,10.240525960922241
on,5,59,58,0.9830508474576272,44,3,0.06818181818181818,58,580,2.9931034482815395,0.29827586206963413,12.091666666663277,0.0,59,59,52,44,0,15,9.088132381439209
on,6,59,59,1.0,44,2,0.045454545454545456,59,589,2.532203389837304,0.28983050847525876,12.299999999996421,0.0,59,59,54,44,0,15,9.485810279846191
on,7,59,59,1.0,48,3,0.0625,59,599,2.257627118649399,0.34915254237385146,12.299999999996421,0.0,59,59,55,48,0,11,9.625308513641357
on,8,59,58,0.9830508474576272,42,2,0.047619047619047616,58,582,2.6896551724206947,0.2758620689660661,12.091666666663277,2.400000000000001,59,59,53,42,1,17,9.215420246124268
on,9,59,59,1.0,37,1,0.02702702702702703,59,590,2.050847457632523,0.24745762711936078,12.299999999996421,1.3,59,59,51,37,1,22,7.596433877944946
on,10,59,57,0.9661016949152542,45,3,0.06666666666666667,57,570,2.442105263164569,0.2614035087725976,11.882638888885689,1.5000000000000002,59,59,53,45,1,14,7.74437952041626
on,11,59,58,0.9830508474576272,47,5,0.10638297872340426,58,581,2.446551724143631,0.3224137931042586,12.091666666663277,0.0,59,59,56,47,0,12,7.093903541564941
on,12,59,57,0.9661016949152542,37,0,0.0,57,567,2.2807017543907535,0.32982456140427185,11.883333333330134,3.5000000000000018,59,59,54,37,1,22,6.612709045410156
on,13,59,58,0.9830508474576272,44,0,0.0,58,580,1.8896551724175947,0.20517241379354018,12.091666666663277,3.4000000000000017,59,59,55,44,1,15,5.472193479537964
on,14,59,59,1.0,51,3,0.058823529411764705,59,592,2.4152542372935635,0.31525423728894525,12.299999999996421,0.0,59,59,57,51,0,8,5.469908714294434
on,15,59,59,1.0,52,2,0.038461538461538464,59,585,2.4288135593271396,0.33220338983134223,12.299999999996421,3.800000000000002,59,59,59,52,1,8,5.232988595962524
on,16,59,58,0.9830508474576272,47,1,0.02127659574468085,58,580,2.57931034483306,0.33620689655245867,12.091666666663277,1.7000000000000004,59,59,56,47,1,12,5.079092502593994
on,17,59,58,0.9830508474576272,43,1,0.023255813953488372,58,586,2.108620689659397,0.2896551724142461,12.091666666663277,2.600000000000001,59,59,54,43,1,16,5.292339086532593
on,18,59,59,1.0,46,5,0.10869565217391304,59,594,3.0983050847540543,0.33389830508553753,12.299999999996421,0.0,59,59,55,46,0,13,5.1338605880737305
on,19,59,58,0.9830508474576272,42,1,0.023809523809523808,58,582,1.8827586206933489,0.2620689655178694,12.091666666663277,0.0,59,59,54,42,0,17,5.048866510391235
