detection_rate_per_sec,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
0.5,control,14,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,5.399999999999997,29,29,16,12,2,18,1.5394456386566162
0.5,detection,0,29,29,1.0,17,1,0.058823529411764705,29,291,3.703448275863633,2.062068965518801,12.100000000001799,0.0,29,29,25,17,0,12,2.470038414001465
0.5,detection,1,29,29,1.0,17,0,0.0,29,291,2.8931034482781066,1.355172413794708,12.100000000001799,2.1000000000000005,29,29,28,17,1,12,2.417508840560913
0.5,detection,2,29,29,1.0,19,0,0.0,29,288,4.334482758625623,1.944827586209926,12.100000000001799,0.0,29,29,28,19,0,10,2.5031511783599854
0.5,detection,3,29,29,1.0,21,1,0.047619047619047616,29,292,3.7000000000042705,2.6896551724167086,12.100000000001799,0.0,29,29,28,21,0,8,2.474860668182373
0.5,detection,4,29,29,1.0,24,1,0.041666666666666664,29,290,3.4448275862107955,1.8517241379330962,12.100000000001799,0.0,29,29,28,24,0,5,2.457221031188965
0.5,detection,5,29,28,0.9655172413793104,20,2,0.1,28,281,3.596428571433488,1.6250000000020617,11.681944444446149,2.3000000000000007,29,29,28,20,1,9,2.465637683868408
0.5,detection,6,29,28,0.9655172413793104,18,2,0.1111111111111111,28,280,4.6928571428606976,1.8357142857158837,11.681944444446149,2.700000000000001,29,29,26,18,1,11,2.520636796951294
0.5,detection,7,29,29,1.0,19,0,0.0,29,292,4.003448275865945,1.713793103449083,12.100000000001799,0.0,29,29,28,19,0,10,2.531905174255371
0.5,detection,8,29,27,0.9310344827586207,21,2,0.09523809523809523,27,272,3.3518518518566953,1.1703703703718586,11.265277777779387,3.5000000000000018,29,29,27,21,2,8,2.518557548522949
0.5,detection,9,29,29,1.0,16,0,0.0,29,287,3.031034482764114,1.4620689655200534,12.100000000001799,0.0,29,29,25,16,0,13,2.57242488861084
0.5,detection,10,29,27,0.9310344827586207,22,1,0.045454545454545456,27,265,4.696296296301716,2.31481481481792,11.266666666668275,0.0,29,29,26,22,0,7,2.457059621810913
0.5,detection,11,29,29,1.0,22,1,0.045454545454545456,29,288,4.755172413799062,2.289655172417751,12.100000000001799,0.0,29,29,28,22,0,7,2.4292478561401367
0.5,detection,12,29,29,1.0,17,0,0.0,29,291,3.4482758620723204,2.0206896551742206,12.100000000001799,0.0,29,29,24,17,0,12,2.5678958892822266
0.5,detection,13,29,28,0.9655172413793104,16,1,0.0625,28,281,3.650000000005641,1.939285714288433,11.683333333335037,0.0,29,29,25,16,0,13,2.4503345489501953
0.5,detection,14,29,29,1.0,18,0,0.0,29,291,4.286206896554354,1.306896551724828,12.100000000001799,2.400000000000001,29,29,27,18,1,11,2.506273031234741
0.5,aware,0,29,29,1.0,21,1,0.047619047619047616,29,294,4.7275862069033465,2.072413793105417,12.100000000001799,0.0,29,29,26,21,0,8,2.4947097301483154
0.5,aware,1,29,29,1.0,12,0,0.0,29,284,3.4758620689672366,1.703448275863013,12.100000000001799,2.2000000000000006,29,29,26,12,1,17,2.492398262023926
0.5,aware,2,29,26,0.896551724137931,21,2,0.09523809523809523,26,262,3.523076923082122,2.1384615384629635,10.848611111112625,0.0,29,29,25,21,0,8,2.456662893295288
0.5,aware,3,29,28,0.9655172413793104,17,0,0.0,28,283,4.271428571433082,1.5357142857163635,11.683333333335037,0.0,29,29,27,17,0,12,2.5045933723449707
0.5,aware,4,29,27,0.9310344827586207,20,3,0.15,27,270,3.7000000000066415,1.3518518518540519,11.265277777779387,2.2000000000000006,29,29,25,20,1,10,2.473494529724121
0.5,aware,5,29,29,1.0,18,0,0.0,29,296,3.720689655177381,1.3689655172427804,12.100000000001799,0.0,29,29,25,18,0,11,2.4586262702941895
0.5,aware,6,29,28,0.9655172413793104,15,0,0.0,28,282,3.95714285714396,2.010714285715973,11.681944444446149,0.0,29,29,24,15,0,14,2.452183723449707
0.5,aware,7,29,27,0.9310344827586207,17,2,0.11764705882352941,27,271,3.68148148148541,1.9666666666695771,11.266666666668275,0.0,29,29,25,17,0,12,2.47391676902771
0.5,aware,8,29,29,1.0,18,0,0.0,29,291,2.872413793105695,1.062068965517977,12.100000000001799,0.0,29,29,26,18,0,11,2.516767740249634
0.5,aware,9,29,29,1.0,19,2,0.10526315789473684,29,288,3.6655172413847295,2.4344827586229485,12.100000000001799,0.0,29,29,26,19,0,10,2.438753366470337
0.5,aware,10,29,27,0.9310344827586207,18,3,0.16666666666666666,27,271,3.7814814814855953,1.3370370370390336,11.263888888890497,0.0,29,29,25,18,0,11,2.483052968978882
0.5,aware,11,29,29,1.0,22,2,0.09090909090909091,29,290,4.3241379310403385,2.1551724137962522,12.100000000001799,3.900000000000002,29,29,27,22,1,7,2.455618381500244
0.5,aware,12,29,29,1.0,19,3,0.15789473684210525,29,292,4.70344827586591,2.0620689655192233,12.100000000001799,2.1000000000000005,29,29,26,19,1,10,2.492917537689209
0.5,aware,13,29,29,1.0,21,0,0.0,29,291,3.237931034486044,0.9655172413801856,12.100000000001799,0.0,29,29,28,21,0,8,2.5120649337768555
0.5,aware,14,29,27,0.9310344827586207,18,1,0.05555555555555555,27,272,3.633333333336893,2.296296296297755,11.266666666668275,0.0,29,29,25,18,0,11,2.5336360931396484
