detection_rate_per_sec,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
0.3,control,0,29,0,0.0,16,2,0.125,0,0,0.0,0.0,0.0,1.2,29,29,22,16,1,13,1.5261893272399902
0.3,control,1,29,0,0.0,17,1,0.058823529411764705,0,0,0.0,0.0,0.0,7.999999999999988,29,29,21,17,3,13,1.468064546585083
0.3,control,2,29,0,0.0,18,5,0.2777777777777778,0,0,0.0,0.0,0.0,5.999999999999995,29,29,21,18,3,11,1.5177075862884521
0.3,control,3,29,0,0.0,20,5,0.25,0,0,0.0,0.0,0.0,7.39999999999999,29,29,24,21,4,9,1.499927282333374
0.3,control,4,29,0,0.0,20,4,0.2,0,0,0.0,0.0,0.0,8.899999999999984,29,29,25,20,3,10,1.4905526638031006
0.3,control,5,29,0,0.0,22,2,0.09090909090909091,0,0,0.0,0.0,0.0,10.799999999999978,29,29,23,23,5,7,1.5383412837982178
0.3,control,6,29,0,0.0,21,3,0.14285714285714285,0,0,0.0,0.0,0.0,3.2000000000000015,29,29,23,22,2,8,1.500108003616333
0.3,control,7,29,0,0.0,15,3,0.2,0,0,0.0,0.0,0.0,0.6,29,29,18,15,2,14,1.4701793193817139
0.3,control,8,29,0,0.0,15,4,0.26666666666666666,0,0,0.0,0.0,0.0,16.599999999999966,29,29,22,16,7,15,1.4903223514556885
0.3,control,9,29,0,0.0,16,3,0.1875,0,0,0.0,0.0,0.0,20.200000000000017,29,29,24,17,7,14,1.5254969596862793
0.3,control,10,29,0,0.0,16,1,0.0625,0,0,0.0,0.0,0.0,9.499999999999982,29,29,21,17,3,14,1.4848308563232422
0.3,control,11,29,0,0.0,17,4,0.23529411764705882,0,0,0.0,0.0,0.0,13.09999999999997,29,29,24,17,5,14,1.491443157196045
0.3,control,12,29,0,0.0,14,2,0.14285714285714285,0,0,0.0,0.0,0.0,6.099999999999994,29,29,18,14,3,15,1.50809907913208
0.3,control,13,29,0,0.0,16,3,0.1875,0,0,0.0,0.0,0.0,0.8999999999999999,29,29,18,16,1,13,1.5359528064727783
0.3,control,14,29,0,0.0,15,2,0.13333333333333333,0,0,0.0,0.0,0.0,5.399999999999997,29,29,16,16,2,14,1.5052335262298584
0.3,detection,0,29,26,0.896551724137931,22,4,0.18181818181818182,26,260,5.0076923076980995,3.0807692307727175,10.847222222223737,3.600000000000002,29,29,25,23,2,7,2.444365978240967
0.3,detection,1,29,27,0.9310344827586207,23,2,0.08695652173913043,27,271,5.070370370372418,2.714814814817628,11.265277777779387,0.0,29,29,25,23,0,6,2.4646735191345215
0.3,detection,2,29,28,0.9655172413793104,18,0,0.0,28,281,4.696428571433765,2.7178571428604172,11.683333333335037,2.2000000000000006,29,29,26,18,1,11,2.5118675231933594
0.3,detection,3,29,28,0.9655172413793104,21,0,0.0,28,278,4.10000000000567,2.5928571428615035,11.681944444446149,0.0,29,29,25,21,0,8,2.416194200515747
0.3,detection,4,29,28,0.9655172413793104,19,1,0.05263157894736842,28,281,5.367857142862904,3.15357142857636,11.683333333335037,1.9000000000000006,29,29,26,19,1,10,2.4872922897338867
0.3,detection,5,29,27,0.9310344827586207,21,2,0.09523809523809523,27,269,4.3777777777823195,2.259259259261548,11.266666666668275,2.500000000000001,29,29,26,21,1,8,2.49379301071167
0.3,detection,6,29,25,0.8620689655172413,18,1,0.05555555555555555,25,250,4.104000000005905,1.8920000000009225,10.429166666668085,2.9000000000000012,29,29,22,18,1,11,2.4166131019592285
0.3,detection,7,29,29,1.0,22,2,0.09090909090909091,29,291,5.7034482758691265,2.855172413796675,12.100000000001799,4.000000000000002,29,29,27,22,1,7,2.422746181488037
0.3,detection,8,29,29,1.0,26,1,0.038461538461538464,29,292,4.486206896558259,1.779310344829707,12.100000000001799,3.900000000000002,29,29,29,26,1,3,2.409416913986206
0.3,detection,9,29,24,0.8275862068965517,18,0,0.0,24,239,4.379166666676348,2.6583333333383456,10.013888888890213,0.0,29,29,22,18,0,11,2.4967703819274902
0.3,detection,10,29,27,0.9310344827586207,23,3,0.13043478260869565,27,270,6.259259259266555,2.729629629633028,11.265277777779387,3.2000000000000015,29,29,26,23,1,6,2.4417366981506348
0.3,detection,11,29,26,0.896551724137931,22,1,0.045454545454545456,26,260,3.4769230769290433,2.0846153846185107,10.847222222223737,0.0,29,29,25,22,0,7,2.380099058151245
0.3,detection,12,29,27,0.9310344827586207,24,2,0.08333333333333333,27,268,4.9962962963048465,3.000000000004058,11.263888888890497,1.4000000000000001,29,29,25,24,1,6,2.4634594917297363
0.3,detection,13,29,26,0.896551724137931,20,0,0.0,26,259,4.9384615384668855,1.7807692307713279,10.848611111112625,2.9000000000000012,29,29,24,20,1,9,2.5044453144073486
0.3,detection,14,29,27,0.9310344827586207,17,1,0.058823529411764705,27,272,3.6037037037066506,1.9518518518543304,11.266666666668275,0.0,29,29,27,17,0,12,2.471219301223755
0.3,aware,0,29,27,0.9310344827586207,18,3,0.16666666666666666,27,274,4.800000000006232,2.2629629629663492,11.263888888890497,0.0,29,29,22,18,0,11,2.455265760421753
0.3,aware,1,29,26,0.896551724137931,14,1,0.07142857142857142,26,259,5.011538461545255,2.692307692311208,10.848611111112625,0.0,29,29,21,14,0,15,2.4342072010040283
