size_scale,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
0.25,aware,8,29,29,1.0,19,1,0.05263157894736842,29,291,2.682758620692635,0.5551724137935746,12.100000000001799,0.0,29,29,26,19,0,10,2.4691922664642334
0.25,aware,9,29,29,1.0,18,2,0.1111111111111111,29,296,2.9413793103485846,0.5172413793111837,12.100000000001799,0.0,29,29,27,18,0,11,2.464094877243042
0.25,aware,10,29,29,1.0,23,1,0.043478260869565216,29,291,3.110344827588176,0.41724137931109534,12.100000000001799,0.0,29,29,28,23,0,6,2.4859402179718018
0.25,aware,11,29,29,1.0,20,2,0.1,29,288,3.875862068970885,0.8137931034490872,12.100000000001799,0.0,29,29,28,20,0,9,2.4702181816101074
0.25,aware,12,29,29,1.0,23,0,0.0,29,294,2.548275862073917,0.6931034482766831,12.100000000001799,0.0,29,29,28,23,0,6,2.46928071975708
0.25,aware,13,29,28,0.9655172413793104,19,0,0.0,28,280,3.625000000006323,0.5785714285722473,11.681944444446149,0.0,29,29,26,19,0,10,2.526698350906372
0.25,aware,14,29,28,0.9655172413793104,18,1,0.05555555555555555,28,280,2.7250000000046586,0.4821428571434743,11.683333333335037,4.000000000000002,29,29,26,18,1,11,2.5925261974334717
0.5,control,0,29,0,0.0,8,2,0.25,0,0,0.0,0.0,0.0,5.4999999999999964,29,29,22,8,2,22,1.528759479522705
0.5,control,1,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,7.19999999999999,29,29,20,9,2,20,1.5352263450622559
0.5,control,2,29,0,0.0,7,1,0.14285714285714285,0,0,0.0,0.0,0.0,0.0,29,29,17,7,0,22,1.5627398490905762
0.5,control,3,29,0,0.0,11,1,0.09090909090909091,0,0,0.0,0.0,0.0,0.0,29,29,24,11,0,18,1.5724234580993652
0.5,control,4,29,0,0.0,14,1,0.07142857142857142,0,0,0.0,0.0,0.0,11.699999999999974,29,29,23,14,4,17,1.5478646755218506
0.5,control,5,29,0,0.0,14,0,0.0,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,23,14,1,15,1.5210669040679932
0.5,control,6,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,0.4,29,29,20,11,1,18,1.533799648284912
0.5,control,7,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,20,11,1,18,1.527632713317871
0.5,control,8,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,6.499999999999993,29,29,21,11,4,20,1.5293357372283936
0.5,control,9,29,0,0.0,14,3,0.21428571428571427,0,0,0.0,0.0,0.0,10.999999999999977,29,29,22,14,4,16,1.5167348384857178
0.5,control,10,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,7.599999999999989,29,29,19,12,3,17,1.5125761032104492
0.5,control,11,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,5.599999999999996,29,29,20,12,2,18,1.5528273582458496
0.5,control,12,29,0,0.0,11,0,0.0,0,0,0.0,0.0,0.0,11.499999999999975,29,29,21,11,4,19,1.566136121749878
0.5,control,13,29,0,0.0,12,3,0.25,0,0,0.0,0.0,0.0,7.499999999999989,29,29,25,13,3,17,1.544731855392456
0.5,control,14,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,5.399999999999997,29,29,16,12,2,18,1.5133850574493408
