size_scale,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
1.0,aware,3,29,29,1.0,22,3,0.13636363636363635,29,290,1.5586206896577575,0.1862068965518253,12.100000000001799,0.0,29,29,29,22,0,7,2.4947409629821777
1.0,aware,4,29,29,1.0,21,1,0.047619047619047616,29,290,2.8551724137949894,0.3655172413793562,12.100000000001799,0.0,29,29,29,21,0,8,2.469548463821411
1.0,aware,5,29,29,1.0,21,1,0.047619047619047616,29,290,2.4586206896573124,0.29655172413854336,12.100000000001799,0.0,29,29,28,21,0,8,2.586595058441162
1.0,aware,6,29,28,0.9655172413793104,15,2,0.13333333333333333,28,284,2.514285714288047,0.2500000000001411,11.683333333335037,0.0,29,29,22,15,0,14,2.5661957263946533
1.0,aware,7,29,29,1.0,17,1,0.058823529411764705,29,292,3.389655172417021,0.2793103448277026,12.100000000001799,0.0,29,29,26,17,0,12,2.5163164138793945
1.0,aware,8,29,28,0.9655172413793104,19,0,0.0,28,282,2.164285714289144,0.2892857142858897,11.681944444446149,0.0,29,29,25,19,0,10,2.525041341781616
1.0,aware,9,29,29,1.0,17,0,0.0,29,292,3.113793103453981,0.2655172413795785,12.100000000001799,0.0,29,29,27,17,0,12,2.5152249336242676
1.0,aware,10,29,29,1.0,18,1,0.05555555555555555,29,288,2.4275862069008123,0.286206896552092,12.100000000001799,0.0,29,29,27,18,0,11,2.575145721435547
1.0,aware,11,29,29,1.0,20,1,0.05,29,292,2.7482758620716425,0.35172413793145063,12.100000000001799,0.0,29,29,27,20,0,9,2.5552492141723633
1.0,aware,12,29,29,1.0,23,0,0.0,29,293,3.4517241379319614,0.3448275862073484,12.100000000001799,1.8000000000000005,29,29,27,23,1,6,2.5709517002105713
1.0,aware,13,29,29,1.0,23,3,0.13043478260869565,29,290,2.7931034482785355,0.33103448275915853,12.100000000001799,2.600000000000001,29,29,29,23,1,6,2.4871251583099365
1.0,aware,14,29,29,1.0,20,1,0.05,29,289,2.7620689655222512,0.3482758620693897,12.100000000001799,0.0,29,29,27,20,0,9,2.5099294185638428
1.5,control,0,29,0,0.0,8,2,0.25,0,0,0.0,0.0,0.0,5.4999999999999964,29,29,22,8,2,22,1.5917942523956299
1.5,control,1,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,7.19999999999999,29,29,20,9,2,20,1.57662034034729
1.5,control,2,29,0,0.0,7,1,0.14285714285714285,0,0,0.0,0.0,0.0,0.0,29,29,17,7,0,22,1.6080520153045654
1.5,control,3,29,0,0.0,11,1,0.09090909090909091,0,0,0.0,0.0,0.0,0.0,29,29,24,11,0,18,1.5882327556610107
1.5,control,4,29,0,0.0,14,1,0.07142857142857142,0,0,0.0,0.0,0.0,11.699999999999974,29,29,23,14,4,17,1.5660274028778076
1.5,control,5,29,0,0.0,14,0,0.0,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,23,14,1,15,1.4926881790161133
1.5,control,6,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,0.4,29,29,20,11,1,18,1.554008960723877
1.5,control,7,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,20,11,1,18,1.5244684219360352
1.5,control,8,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,6.499999999999993,29,29,21,11,4,20,1.5646991729736328
1.5,control,9,29,0,0.0,14,3,0.21428571428571427,0,0,0.0,0.0,0.0,10.999999999999977,29,29,22,14,4,16,1.6196262836456299
1.5,control,10,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,7.599999999999989,29,29,19,12,3,17,1.6827239990234375
1.5,control,11,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,5.599999999999996,29,29,20,12,2,18,1.5760173797607422
1.5,control,12,29,0,0.0,11,0,0.0,0,0,0.0,0.0,0.0,11.499999999999975,29,29,21,11,4,19,1.5446083545684814
1.5,control,13,29,0,0.0,12,3,0.25,0,0,0.0,0.0,0.0,7.499999999999989,29,29,25,13,3,17,1.5617196559906006
1.5,control,14,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,5.399999999999997,29,29,16,12,2,18,1.5206637382507324
1.5,detection,0,29,29,1.0,25,3,0.12,29,291,2.2517241379341524,0.16206896551731254,12.100000000001799,0.0,29,29,29,25,0,4,2.4563190937042236
1.5,detection,1,29,29,1.0,20,2,0.1,29,293,1.4000000000000516,0.15862068965538098,12.100000000001799,0.0,29,29,27,20,0,9,2.4755148887634277
1.5,detection,2,29,29,1.0,22,4,0.18181818181818182,29,290,1.7862068965533564,0.22068965517272957,12.100000000001799,0.0,29,29,26,22,0,7,2.443193197250366
1.5,detection,3,29,29,1.0,20,0,0.0,29,290,2.85517241379658,0.15862068965551523,12.100000000001799,0.0,29,29,28,20,0,9,2.482433795928955
1.5,detection,4,29,29,1.0,16,1,0.0625,29,290,2.248275862069863,0.3172413793105747,12.100000000001799,0.0,29,29,25,16,0,13,2.4523096084594727
1.5,detection,5,29,29,1.0,22,1,0.045454545454545456,29,292,2.1586206896567894,0.1689655172416353,12.100000000001799,0.0,29,29,27,22,0,7,2.500908374786377
1.5,detection,6,29,28,0.9655172413793104,16,0,0.0,28,281,3.2750000000041655,0.3428571428575436,11.683333333335037,0.0,29,29,25,16,0,13,2.4736289978027344
1.5,detection,7,29,29,1.0,22,0,0.0,29,290,2.324137931036353,0.14137931034488815,12.100000000001799,0.0,29,29,29,22,0,7,2.454777956008911
1.5,detection,8,29,28,0.9655172413793104,18,1,0.05555555555555555,28,279,3.139285714291747,0.2500000000002274,11.681944444446149,0.0,29,29,24,18,0,11,2.443403959274292
1.5,detection,9,29,29,1.0,17,1,0.058823529411764705,29,286,2.320689655175575,0.15862068965545448,12.100000000001799,1.3,29,29,27,17,1,12,2.437260627746582
1.5,detection,10,29,28,0.9655172413793104,21,0,0.0,28,280,1.2214285714293445,0.22142857142881667,11.681944444446149,2.3000000000000007,29,29,26,21,1,8,2.426215887069702
1.5,detection,11,29,29,1.0,18,2,0.1111111111111111,29,290,1.2000000000001758,0.18620689655197425,12.100000000001799,5.599999999999996,29,29,28,18,2,11,2.444607973098755
1.5,detection,12,29,29,1.0,18,2,0.1111111111111111,29,296,1.5034482758632948,0.24827586206922386,12.100000000001799,0.0,29,29,25,18,0,11,2.463585138320923
1.5,detection,13,29,29,1.0,20,2,0.1,29,290,2.817241379310763,0.30000000000008,12.100000000001799,0.0,29,29,28,20,0,9,2.5085580348968506
1.5,detection,14,29,29,1.0,21,1,0.047619047619047616,29,290,2.3827586206945486,0.2379310344831577,12.100000000001799,0.0,29,29,28,21,0,8,2.446307420730591
1.5,aware,0,29,29,1.0,22,0,0.0,29,293,2.313793103452929,0.3379310344829168,12.100000000001799,0.0,29,29,29,22,0,7,2.446613073348999
1.5,aware,1,29,28,0.9655172413793104,19,1,0.05263157894736842,28,282,2.421428571432849,0.16428571428591,11.683333333335037,0.0,29,29,27,19,0,10,2.4713172912597656
1.5,aware,2,29,29,1.0,20,0,0.0,29,293,2.075862068966993,0.18965517241409496,12.100000000001799,0.0,29,29,27,20,0,9,2.576181650161743
1.5,aware,3,29,29,1.0,21,2,0.09523809523809523,29,290,2.5310344827634106,0.19655172413833638,12.100000000001799,0.0,29,29,27,21,0,8,2.53582763671875
1.5,aware,4,29,28,0.9655172413793104,18,1,0.05555555555555555,28,277,2.932142857146831,0.2071428571430443,11.683333333335037,0.0,29,29,24,18,0,11,2.4582645893096924
1.5,aware,5,29,29,1.0,22,1,0.045454545454545456,29,291,2.62068965517541,0.18620689655199776,12.100000000001799,0.0,29,29,28,22,0,7,2.459153890609741
1.5,aware,6,29,28,0.9655172413793104,15,2,0.13333333333333333,28,283,3.0000000000041323,0.2500000000001736,11.683333333335037,0.0,29,29,23,15,0,14,2.4716062545776367
1.5,aware,7,29,29,1.0,23,1,0.043478260869565216,29,293,3.455172413798326,0.26896551724174034,12.100000000001799,2.0000000000000004,29,29,28,23,1,6,2.4787068367004395
1.5,aware,8,29,29,1.0,18,2,0.1111111111111111,29,293,2.35172413793036,0.17586206896565523,12.100000000001799,4.000000000000002,29,29,25,18,1,11,2.4390249252319336
1.5,aware,9,29,29,1.0,17,1,0.058823529411764705,29,290,1.8827586206923403,0.28620689655202053,12.100000000001799,0.0,29,29,27,17,0,12,2.456280469894409
1.5,aware,10,29,29,1.0,22,1,0.045454545454545456,29,293,2.5655172413822656,0.17931034482781222,12.100000000001799,0.0,29,29,26,22,0,7,2.497833251953125
1.5,aware,11,29,29,1.0,20,1,0.05,29,294,2.7241379310388556,0.2034482758623024,12.100000000001799,0.0,29,29,27,20,0,9,2.4790890216827393
1.5,aware,12,29,29,1.0,19,1,0.05263157894736842,29,293,2.703448275865956,0.3068965517245439,12.100000000001799,0.0,29,29,27,19,0,10,2.4675536155700684
1.5,aware,13,29,29,1.0,23,2,0.08695652173913043,29,292,2.7482758620718837,0.25862068965550955,12.100000000001799,3.3000000000000016,29,29,28,23,1,6,2.442176580429077
1.5,aware,14,29,29,1.0,20,0,0.0,29,291,2.224137931037128,0.24827586206907293,12.100000000001799,0.0,29,29,28,20,0,9,2.471827745437622
2.0,control,0,29,0,0.0,8,2,0.25,0,0,0.0,0.0,0.0,5.4999999999999964,29,29,22,8,2,22,1.5310592651367188
2.0,control,1,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,7.19999999999999,29,29,20,9,2,20,1.552980899810791
2.0,control,2,29,0,0.0,7,1,0.14285714285714285,0,0,0.0,0.0,0.0,0.0,29,29,17,7,0,22,1.5553126335144043
2.0,control,3,29,0,0.0,11,1,0.09090909090909091,0,0,0.0,0.0,0.0,0.0,29,29,24,11,0,18,1.5327720642089844
2.0,control,4,29,0,0.0,14,1,0.07142857142857142,0,0,0.0,0.0,0.0,11.699999999999974,29,29,23,14,4,17,1.541433572769165
2.0,control,5,29,0,0.0,14,0,0.0,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,23,14,1,15,1.519446849822998
2.0,control,6,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,0.4,29,29,20,11,1,18,1.5681369304656982
2.0,control,7,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,20,11,1,18,1.573559284210205
2.0,control,8,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,6.499999999999993,29,29,21,11,4,20,1.5898513793945312
2.0,control,9,29,0,0.0,14,3,0.21428571428571427,0,0,0.0,0.0,0.0,10.999999999999977,29,29,22,14,4,16,1.540658712387085
2.0,control,10,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,7.599999999999989,29,29,19,12,3,17,1.503633737564087
2.0,control,11,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,5.599999999999996,29,29,20,12,2,18,1.5721049308776855
2.0,control,12,29,0,0.0,11,0,0.0,0,0,0.0,0.0,0.0,11.499999999999975,29,29,21,11,4,19,1.5758047103881836
2.0,control,13,29,0,0.0,12,3,0.25,0,0,0.0,0.0,0.0,7.499999999999989,29,29,25,13,3,17,1.5352551937103271
2.0,control,14,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,5.399999999999997,29,29,16,12,2,18,1.4955642223358154
2.0,detection,0,29,29,1.0,22,2,0.09090909090909091,29,292,2.4172413793133005,0.1965517241383354,12.100000000001799,0.0,29,29,27,22,0,7,2.434640645980835
2.0,detection,1,29,29,1.0,21,2,0.09523809523809523,29,292,1.9827586206923875,0.144827586207051,12.100000000001799,0.0,29,29,28,21,0,8,2.495356321334839
2.0,detection,2,29,29,1.0,22,2,0.09090909090909091,29,289,2.2448275862103775,0.1551724137932044,12.100000000001799,2.500000000000001,29,29,28,22,1,7,2.539423704147339
2.0,detection,3,29,29,1.0,16,2,0.125,29,288,3.217241379312959,0.16551724137944304,12.100000000001799,0.0,29,29,28,16,0,13,2.498960494995117
2.0,detection,4,29,29,1.0,17,1,0.058823529411764705,29,295,2.158620689657159,0.15862068965526827,12.100000000001799,2.400000000000001,29,29,28,17,1,12,2.469987392425537
2.0,detection,5,29,29,1.0,20,0,0.0,29,291,2.5655172413824077,0.15517241379330926,12.100000000001799,0.0,29,29,27,20,0,9,2.4484167098999023
2.0,detection,6,29,29,1.0,18,1,0.05555555555555555,29,291,3.072413793107144,0.31034482758651855,12.100000000001799,0.0,29,29,27,18,0,11,2.55692458152771
2.0,detection,7,29,29,1.0,22,3,0.13636363636363635,29,292,2.103448275865222,0.13793103448280664,12.100000000001799,3.2000000000000015,29,29,27,22,1,7,2.448847770690918
2.0,detection,8,29,29,1.0,14,1,0.07142857142857142,29,291,2.182758620692786,0.13448275862073983,12.100000000001799,0.0,29,29,25,14,0,15,2.4539241790771484
2.0,detection,9,29,28,0.9655172413793104,20,1,0.05,28,279,0.6500000000014298,0.16428571428602673,11.681944444446149,1.3,29,29,25,20,1,9,2.4644479751586914
2.0,detection,10,29,28,0.9655172413793104,17,0,0.0,28,279,2.8464285714327877,0.16785714285732314,11.681944444446149,0.0,29,29,24,17,0,12,2.495777130126953
2.0,detection,11,29,29,1.0,19,2,0.10526315789473684,29,289,2.527586206901557,0.18965517241405577,12.100000000001799,3.1000000000000014,29,29,27,19,1,10,2.4816081523895264
2.0,detection,12,29,29,1.0,23,1,0.043478260869565216,29,296,1.7206896551714193,0.12758620689663758,12.100000000001799,0.0,29,29,25,23,0,6,2.440608024597168
2.0,detection,13,29,28,0.9655172413793104,17,1,0.058823529411764705,28,281,2.678571428573492,0.2857142857145699,11.681944444446149,0.0,29,29,25,17,0,12,2.4746460914611816
2.0,detection,14,29,29,1.0,24,2,0.08333333333333333,29,290,2.6000000000002736,0.13448275862083,12.100000000001799,3.3000000000000016,29,29,27,24,1,5,2.4659883975982666
2.0,aware,0,29,29,1.0,20,2,0.1,29,291,2.200000000003967,0.14137931034484896,12.100000000001799,0.0,29,29,24,20,0,9,2.4548280239105225
2.0,aware,1,29,28,0.9655172413793104,19,1,0.05263157894736842,28,282,2.421428571432849,0.16428571428591,11.683333333335037,0.0,29,29,27,19,0,10,2.554154396057129
2.0,aware,2,29,29,1.0,20,1,0.05,29,292,3.0172413793160566,0.20000000000021012,12.100000000001799,0.0,29,29,26,20,0,9,2.490222692489624
2.0,aware,3,29,28,0.9655172413793104,20,1,0.05,28,281,2.160714285717652,0.11785714285733206,11.683333333335037,0.0,29,29,27,20,0,9,2.566603183746338
2.0,aware,4,29,29,1.0,20,0,0.0,29,290,3.7620689655230537,0.1689655172415569,12.100000000001799,0.0,29,29,26,20,0,9,2.5887773036956787
2.0,aware,5,29,29,1.0,23,2,0.08695652173913043,29,289,2.182758620691058,0.14827586206910115,12.100000000001799,0.0,29,29,29,23,0,6,2.5030672550201416
2.0,aware,6,29,28,0.9655172413793104,19,2,0.10526315789473684,28,283,2.267857142862493,0.15714285714298118,11.683333333335037,0.0,29,29,20,19,0,10,2.490933418273926
2.0,aware,7,29,29,1.0,20,1,0.05,29,294,2.506896551725644,0.14482758620700983,12.100000000001799,0.0,29,29,28,20,0,9,2.4804675579071045
2.0,aware,8,29,28,0.9655172413793104,19,3,0.15789473684210525,28,281,2.464285714286208,0.28214285714316895,11.681944444446149,0.0,29,29,25,19,0,10,2.50146222114563
2.0,aware,9,29,29,1.0,22,2,0.09090909090909091,29,293,1.5689655172432835,0.28275862069014285,12.100000000001799,0.0,29,29,28,22,0,7,2.5091283321380615
2.0,aware,10,29,29,1.0,19,1,0.05263157894736842,29,288,2.679310344830971,0.19310344827615394,12.100000000001799,0.0,29,29,23,19,0,10,2.4577035903930664
2.0,aware,11,29,29,1.0,16,2,0.125,29,293,2.5379310344872383,0.14827586206915505,12.100000000001799,0.0,29,29,26,16,0,13,2.4706928730010986
2.0,aware,12,29,29,1.0,17,1,0.058823529411764705,29,293,2.2034482758647016,0.28275862068978513,12.100000000001799,2.700000000000001,29,29,22,17,1,12,2.4726004600524902
2.0,aware,13,29,29,1.0,21,1,0.047619047619047616,29,291,2.817241379314788,0.10344827586217874,12.100000000001799,0.0,29,29,26,21,0,8,2.5471811294555664
2.0,aware,14,29,29,1.0,19,1,0.05263157894736842,29,291,2.8379310344896127,0.1965517241382423,12.100000000001799,0.0,29,29,26,19,0,10,2.4913828372955322
3.0,control,0,29,0,0.0,8,2,0.25,0,0,0.0,0.0,0.0,5.4999999999999964,29,29,22,8,2,22,1.5416204929351807
3.0,control,1,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,7.19999999999999,29,29,20,9,2,20,1.626422643661499
3.0,control,2,29,0,0.0,7,1,0.14285714285714285,0,0,0.0,0.0,0.0,0.0,29,29,17,7,0,22,1.618945598602295
3.0,control,3,29,0,0.0,11,1,0.09090909090909091,0,0,0.0,0.0,0.0,0.0,29,29,24,11,0,18,1.6009361743927002
3.0,control,4,29,0,0.0,14,1,0.07142857142857142,0,0,0.0,0.0,0.0,11.699999999999974,29,29,23,14,4,17,1.5415709018707275
3.0,control,5,29,0,0.0,14,0,0.0,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,23,14,1,15,1.6049318313598633
3.0,control,6,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,0.4,29,29,20,11,1,18,1.5658979415893555
3.0,control,7,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,20,11,1,18,1.5859081745147705
3.0,control,8,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,6.499999999999993,29,29,21,11,4,20,1.6014339923858643
3.0,control,9,29,0,0.0,14,3,0.21428571428571427,0,0,0.0,0.0,0.0,10.999999999999977,29,29,22,14,4,16,1.5308659076690674
3.0,control,10,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,7.599999999999989,29,29,19,12,3,17,1.538754940032959
3.0,control,11,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,5.599999999999996,29,29,20,12,2,18,1.5646607875823975
3.0,control,12,29,0,0.0,11,0,0.0,0,0,0.0,0.0,0.0,11.499999999999975,29,29,21,11,4,19,1.5290367603302002
3.0,control,13,29,0,0.0,12,3,0.25,0,0,0.0,0.0,0.0,7.499999999999989,29,29,25,13,3,17,1.553067684173584
3.0,control,14,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,5.399999999999997,29,29,16,12,2,18,1.5183196067810059
3.0,detection,0,29,29,1.0,20,3,0.15,29,294,3.2655172413830313,0.14482758620709707,12.100000000001799,0.0,29,29,27,20,0,9,2.496774196624756
3.0,detection,1,29,29,1.0,20,4,0.2,29,292,2.3862068965560184,0.22413793103501983,12.100000000001799,0.0,29,29,25,20,0,9,2.4715824127197266
3.0,detection,2,29,29,1.0,18,2,0.1111111111111111,29,291,2.337931034485716,0.21724137931076568,12.100000000001799,0.0,29,29,26,18,0,11,2.4226768016815186
3.0,detection,3,29,29,1.0,18,1,0.05555555555555555,29,289,2.9344827586255366,0.13448275862088194,12.100000000001799,0.0,29,29,28,18,0,11,2.470508575439453
3.0,detection,4,29,28,0.9655172413793104,21,0,0.0,28,280,2.4178571428593107,0.17500000000010577,11.683333333335037,0.0,29,29,25,21,0,8,2.4576783180236816
3.0,detection,5,29,29,1.0,18,0,0.0,29,291,1.3275862068958666,0.11724137931042833,12.100000000001799,0.0,29,29,26,18,0,11,2.5358214378356934
3.0,detection,6,29,29,1.0,18,1,0.05555555555555555,29,294,3.4827586206948435,0.24827586206905136,12.100000000001799,0.0,29,29,27,18,0,11,2.456726312637329
3.0,detection,7,29,28,0.9655172413793104,22,2,0.09090909090909091,28,280,2.060714285717236,0.1714285714286439,11.683333333335037,3.4000000000000017,29,29,26,22,1,7,2.49076771736145
3.0,detection,8,29,29,1.0,14,0,0.0,29,291,2.110344827589231,0.1689655172415706,12.100000000001799,0.0,29,29,22,14,0,15,2.421137809753418
3.0,detection,9,29,28,0.9655172413793104,21,1,0.047619047619047616,28,282,0.9178571428595471,0.11071428571440325,11.681944444446149,1.3,29,29,26,21,1,8,2.4706509113311768
3.0,detection,10,29,29,1.0,19,1,0.05263157894736842,29,290,2.058620689656891,0.12413793103459723,12.100000000001799,0.0,29,29,27,19,0,10,2.569786548614502
3.0,detection,11,29,29,1.0,21,3,0.14285714285714285,29,296,2.7172413793161225,0.1758620689656866,12.100000000001799,0.0,29,29,25,21,0,8,2.5696918964385986
3.0,detection,12,29,29,1.0,21,2,0.09523809523809523,29,291,2.227586206900412,0.19655172413814234,12.100000000001799,0.0,29,29,27,21,0,8,2.4947636127471924
3.0,detection,13,29,29,1.0,22,0,0.0,29,290,2.341379310346604,0.16896551724156278,12.100000000001799,0.0,29,29,29,22,0,7,2.490495443344116
3.0,detection,14,29,29,1.0,19,0,0.0,29,290,1.4344827586235385,0.12758620689665326,12.100000000001799,0.0,29,29,26,19,0,10,2.4708099365234375
3.0,aware,0,29,29,1.0,22,2,0.09090909090909091,29,292,1.83793103448463,0.09310344827598026,12.100000000001799,0.0,29,29,28,22,0,7,2.4457030296325684
3.0,aware,1,29,29,1.0,18,0,0.0,29,292,1.68275862069239,0.19310344827611375,12.100000000001799,0.0,29,29,28,18,0,11,2.4929330348968506
3.0,aware,2,29,29,1.0,19,0,0.0,29,292,2.724137931038019,0.18965517241398128,12.100000000001799,0.0,29,29,25,19,0,10,2.455981969833374
3.0,aware,3,29,29,1.0,21,3,0.14285714285714285,29,290,1.7413793103468544,0.06896551724143027,12.100000000001799,0.0,29,29,27,21,0,8,2.493426561355591
3.0,aware,4,29,28,0.9655172413793104,19,0,0.0,28,280,3.4250000000024943,0.18928571428594207,11.683333333335037,1.7000000000000004,29,29,27,19,1,10,2.4904708862304688
3.0,aware,5,29,29,1.0,22,1,0.045454545454545456,29,293,1.9931034482776568,0.15172413793126108,12.100000000001799,0.0,29,29,28,22,0,7,2.4883360862731934
3.0,aware,6,29,28,0.9655172413793104,17,0,0.0,28,284,3.642857142863529,0.18928571428577254,11.683333333335037,0.0,29,29,24,17,0,12,2.494905948638916
3.0,aware,7,29,29,1.0,18,0,0.0,29,294,2.4620689655177688,0.1655172413794362,12.100000000001799,0.0,29,29,27,18,0,11,2.4628796577453613
3.0,aware,8,29,27,0.9310344827586207,15,1,0.06666666666666667,27,269,1.4555555555569666,0.17777777777791925,11.263888888890497,0.0,29,29,24,15,0,14,2.5082828998565674
3.0,aware,9,29,27,0.9310344827586207,20,1,0.05,27,271,2.0555555555563725,0.13333333333338995,11.265277777779387,0.0,29,29,27,20,0,9,2.5020432472229004
3.0,aware,10,29,28,0.9655172413793104,23,1,0.043478260869565216,28,284,3.928571428574209,0.1607142857144684,11.683333333335037,1.7000000000000004,29,29,26,23,1,6,2.4527690410614014
3.0,aware,11,29,29,1.0,18,0,0.0,29,292,1.7965517241408582,0.14137931034489795,12.100000000001799,0.0,29,29,28,18,0,11,2.4600541591644287
3.0,aware,12,29,29,1.0,17,1,0.058823529411764705,29,292,2.1379310344831888,0.14137931034503518,12.100000000001799,0.0,29,29,27,17,0,12,2.494981050491333
3.0,aware,13,29,29,1.0,21,1,0.047619047619047616,29,290,3.8206896551805074,0.12068965517258629,12.100000000001799,0.0,29,29,26,21,0,8,2.4774434566497803
3.0,aware,14,29,29,1.0,23,1,0.043478260869565216,29,289,2.313793103452137,0.16551724137958318,12.100000000001799,0.0,29,29,27,23,0,6,2.474398374557495
