mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
detection,7,59,59,1.0,43,3,0.06976744186046512,59,595,2.267796610175276,0.2949152542381149,12.299999999996421,0.0,59,59,57,43,0,16,4.8259453773498535
detection,8,59,56,0.9491525423728814,34,2,0.058823529411764705,56,569,2.8125000000056377,0.31607142857215614,11.674999999996988,2.700000000000001,59,59,51,34,1,25,4.851402282714844
detection,9,59,58,0.9830508474576272,40,2,0.05,58,581,1.6982758620730518,0.2189655172419892,12.091666666663277,1.3,59,59,55,40,1,19,4.882741451263428
detection,10,59,57,0.9661016949152542,41,1,0.024390243902439025,57,571,1.880701754390597,0.25964912280767893,11.882638888885689,0.0,59,59,52,41,0,18,4.996248483657837
detection,11,59,59,1.0,43,3,0.06976744186046512,59,592,2.6389830508539123,0.25084745762767474,12.299999999996421,0.0,59,59,57,43,0,16,4.924185514450073
detection,12,59,58,0.9830508474576272,38,1,0.02631578947368421,58,580,2.4706896551779542,0.3155172413800289,12.091666666663277,3.5000000000000018,59,59,53,38,1,21,5.007028341293335
detection,13,59,59,1.0,42,1,0.023809523809523808,59,591,2.1338983050894957,0.26271186440743866,12.299999999996421,3.0000000000000013,59,59,55,42,1,17,4.994488716125488
detection,14,59,59,1.0,45,1,0.022222222222222223,59,593,2.55084745763304,0.29322033898378036,12.299999999996421,0.0,59,59,56,45,0,14,4.9324774742126465
detection,15,59,59,1.0,48,2,0.041666666666666664,59,591,2.293220338987663,0.32881355932285533,12.299999999996421,0.0,59,59,58,48,0,11,4.862480878829956
detection,16,59,57,0.9661016949152542,38,4,0.10526315789473684,57,568,2.4263157894790433,0.3912280701763408,11.883333333330134,0.0,59,59,56,38,0,21,4.924627780914307
detection,17,59,59,1.0,43,3,0.06976744186046512,59,596,2.9830508474642663,0.3118644067802358,12.299999999996421,0.0,59,59,56,43,0,16,4.90017294883728
detection,18,59,59,1.0,43,2,0.046511627906976744,59,591,2.9084745762773325,0.3559322033905772,12.299999999996421,0.0,59,59,53,43,0,16,4.9384520053863525
detection,19,59,58,0.9830508474576272,38,2,0.05263157894736842,58,584,3.2362068965592203,0.3137931034489823,12.091666666663277,10.799999999999978,59,59,51,38,3,21,4.911590337753296
aware,0,59,59,1.0,45,1,0.022222222222222223,59,595,3.289830508482993,0.2915254237294613,12.299999999996421,0.0,59,59,55,45,0,14,4.968878984451294
aware,1,59,58,0.9830508474576272,43,3,0.06976744186046512,58,577,2.6879310344882015,0.35172413793183777,12.091666666663277,0.0,59,59,54,43,0,16,4.90099024772644
aware,2,59,57,0.9661016949152542,41,4,0.0975609756097561,57,574,2.2771929824609183,0.27543859649188107,11.883333333330134,0.0,59,59,56,41,0,18,4.994028806686401
aware,3,59,59,1.0,40,4,0.1,59,594,2.4067796610241885,0.23050847457682652,12.299999999996421,0.0,59,59,54,40,0,19,4.965261459350586
aware,4,59,59,1.0,44,1,0.022727272727272728,59,592,2.5932203389883064,0.31864406779713833,12.299999999996421,0.0,59,59,57,44,0,15,4.957042932510376
aware,5,59,59,1.0,45,3,0.06666666666666667,59,589,2.589830508480653,0.23898305084809773,12.299999999996421,0.0,59,59,57,45,0,14,4.890245676040649
aware,6,59,58,0.9830508474576272,36,3,0.08333333333333333,58,586,2.6396551724201065,0.2586206896557423,12.091666666663277,4.000000000000002,59,59,49,36,1,23,4.920394420623779
aware,7,59,58,0.9830508474576272,36,2,0.05555555555555555,58,582,3.4810344827667326,0.2603448275867042,12.091666666663277,0.0,59,59,53,36,0,23,4.979558706283569
aware,8,59,58,0.9830508474576272,37,0,0.0,58,582,2.4724137931102974,0.36034482758709446,12.090972222218832,0.0,59,59,51,37,0,22,4.981827259063721
aware,9,59,58,0.9830508474576272,35,1,0.02857142857142857,58,587,2.503448275868365,0.2844827586213757,12.091666666663277,0.0,59,59,53,35,0,24,4.917125940322876
aware,10,59,59,1.0,38,1,0.02631578947368421,59,590,2.1881355932260527,0.2949152542380301,12.299999999996421,0.0,59,59,55,38,0,21,4.8796727657318115
aware,11,59,59,1.0,40,4,0.1,59,595,2.045762711868251,0.29830508474642353,12.299999999996421,0.0,59,59,55,40,0,19,4.9015233516693115
aware,12,59,59,1.0,41,0,0.0,59,598,3.0237288135646057,0.34067796610253975,12.299999999996421,1.8000000000000005,59,59,50,41,1,18,4.96388053894043
aware,13,59,58,0.9830508474576272,45,3,0.06666666666666667,58,579,2.6241379310402855,0.2982758620697174,12.091666666663277,2.600000000000001,59,59,54,45,1,14,4.886520862579346
aware,14,59,57,0.9661016949152542,40,3,0.075,57,569,3.3122807017638727,0.36315789473773447,11.883333333330134,0.0,59,59,52,40,0,19,4.958081483840942
aware,15,59,59,1.0,42,1,0.023809523809523808,59,591,2.925423728820258,0.3084745762718761,12.299999999996421,0.0,59,59,55,42,0,17,4.912649631500244
aware,16,59,58,0.9830508474576272,46,5,0.10869565217391304,58,581,2.743103448282307,0.32758620689711576,12.091666666663277,0.0,59,59,55,46,0,13,4.960331678390503
aware,17,59,58,0.9830508474576272,39,3,0.07692307692307693,58,579,2.018965517247082,0.19827586206950895,12.090972222218832,0.0,59,59,56,39,0,20,4.917346954345703
aware,18,59,59,1.0,39,1,0.02564102564102564,59,597,2.2813559322088945,0.3847457627126171,12.299999999996421,0.0,59,59,57,39,0,20,4.915960073471069
aware,19,59,59,1.0,40,2,0.05,59,590,2.386440677972132,0.25932203389895464,12.299999999996421,0.0,59,59,52,40,0,19,4.843314170837402
